City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Altamira,BR,83.52,overcast clouds,-3.2033,-52.2064,Requinte Hotel
1,Pula,HR,76.57,clear sky,44.8683,13.8481,Park Plaza Histria Pula
2,Touros,BR,76.98,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
3,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
4,Amapa,BR,78.37,overcast clouds,1.0,-52.0,
5,Bonthe,SL,77.09,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
6,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
7,Fukue,JP,78.98,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
8,Butaritari,KI,81.79,few clouds,3.0707,172.7902,Isles Sunset Lodge
9,Atuona,PF,77.54,scattered clouds,-9.8,-139.0333,Villa Enata
10,Victoria,HK,87.19,scattered clouds,22.2855,114.1577,Mini Central
11,Mogadishu,SO,76.03,light rain,2.0371,45.3438,Hotel Juba
12,Mian Channun,PK,86.0,overcast clouds,30.44,72.3543,Fateh Din Colony
13,Marsa Matruh,EG,77.02,clear sky,31.3525,27.2453,Beau Site
14,Agadir,MA,75.65,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
15,Sale,MA,77.76,overcast clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
16,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
17,Barentu,ER,79.25,overcast clouds,15.1139,37.5928,
18,Arona,ES,80.91,few clouds,28.0996,-16.681,Paradise Court
19,Le Vauclin,MQ,84.25,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
20,Jamestown,US,80.51,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
21,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
22,Mahibadhoo,MV,81.97,overcast clouds,3.7833,72.9667,Omadhoo Inn
23,Guanajuato,MX,76.3,overcast clouds,21.0186,-101.2591,Hotel Posada Santa Fe
24,Buala,SB,82.83,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
25,Namatanai,PG,81.88,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
26,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Havelock,US,85.78,broken clouds,34.8791,-76.9013,Sherwood Motel
28,Niquero,CU,83.34,overcast clouds,20.0431,-77.5828,Islazul Niquero
29,Trat,TH,79.88,overcast clouds,12.5,102.5,สวนหนิง-อัศ
30,Sao Felix Do Xingu,BR,79.65,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
31,Sabha,LY,84.02,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
32,Sola,VU,80.17,few clouds,-13.8833,167.55,Leumerus Bungalows
33,Bandundu,CD,79.81,overcast clouds,-3.3167,17.3667,Coja Color
34,Campbellsville,US,89.46,clear sky,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
35,Cabo San Lucas,MX,82.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
36,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
37,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Wanning,CN,78.48,clear sky,18.8003,110.3967,Paradise Hotel
39,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Bouloupari,NC,75.58,broken clouds,-21.8667,166.05,Oua-Ya Lodge
41,Teacapan,MX,87.66,few clouds,22.55,-105.75,Hotel los Mangos
