City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Altamira,BR,-3.2033,-52.2064,83.52,57,98,0.98,overcast clouds
1,Pula,HR,44.8683,13.8481,76.57,78,0,4.61,clear sky
2,Pacific Grove,US,36.6177,-121.9166,60.37,78,17,11.86,few clouds
3,Touros,BR,-5.1989,-35.4608,76.98,82,62,16.42,broken clouds
4,Iqaluit,CA,63.7506,-68.5145,47.7,87,100,4.61,overcast clouds
5,Nanortalik,GL,60.1432,-45.2371,44.22,91,93,10.87,overcast clouds
6,Tiksi,RU,71.6872,128.8694,48.24,81,31,4.16,scattered clouds
7,Mar Del Plata,AR,-38.0023,-57.5575,54.09,58,100,4.61,fog
8,Hilo,US,19.7297,-155.09,87.28,89,100,3.44,overcast clouds
9,Quatre Cocos,MU,-20.2078,57.7625,69.39,76,43,15.55,scattered clouds
10,Ushuaia,AR,-54.8,-68.3,33.46,93,100,19.57,snow
11,Amapa,BR,1.0,-52.0,78.37,79,93,1.66,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,72.37,65,0,6.6,clear sky
13,East London,ZA,-33.0153,27.9116,57.63,71,72,18.19,broken clouds
14,Cape Town,ZA,-33.9258,18.4232,55.38,67,20,10.36,few clouds
15,Moultrie,US,31.1799,-83.7891,91.81,55,0,0.0,clear sky
16,Pontivy,FR,48.0,-3.0,59.95,82,9,7.29,clear sky
17,Yerbogachen,RU,61.2767,108.0108,65.46,96,39,5.73,scattered clouds
18,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,9.22,clear sky
19,Bonthe,SL,7.5264,-12.505,77.09,78,100,9.06,overcast clouds
20,Albany,US,42.6001,-73.9662,96.03,35,21,8.25,few clouds
21,Kodiak,US,57.79,-152.4072,51.31,87,100,13.8,light rain
22,Georgetown,MY,5.4112,100.3354,78.73,94,40,6.91,scattered clouds
23,Dikson,RU,73.5069,80.5464,49.33,79,70,10.54,broken clouds
24,Fukue,JP,32.6881,128.8419,78.98,88,100,12.1,light rain
25,Butaritari,KI,3.0707,172.7902,81.79,77,20,14.29,few clouds
26,Irara,BR,-12.05,-38.7667,69.94,86,90,6.87,overcast clouds
27,Codrington,AU,-38.2667,141.9667,46.22,94,6,7.14,clear sky
