City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-07-21 14:08:07,19.7297,-155.09,73.27,99,49,1.01
1,Tongliao,CN,2022-07-21 14:08:25,43.6125,122.2653,71.44,80,100,2.13
2,Narsaq,GL,2022-07-21 14:08:26,60.9167,-46.05,62.82,67,9,3.47
3,Leningradskiy,RU,2022-07-21 14:08:26,69.3833,178.4167,32.97,98,100,14.16
4,Kahului,US,2022-07-21 14:08:27,20.8947,-156.47,73.42,78,100,12.66
5,Sao Felix Do Xingu,BR,2022-07-21 14:08:28,-6.6447,-51.995,90.12,29,5,5.1
6,Ushuaia,AR,2022-07-21 14:08:28,-54.8,-68.3,29.82,93,100,12.66
7,Bengkulu,ID,2022-07-21 14:08:29,-3.8004,102.2655,77.22,89,80,4.5
8,Rikitea,PF,2022-07-21 14:08:29,-23.1203,-134.9692,74.05,73,1,7.74
9,Guerrero Negro,MX,2022-07-21 14:08:29,27.9769,-114.0611,68.0,84,97,15.77
10,Karratha,AU,2022-07-21 14:08:30,-20.7377,116.8463,72.19,78,0,7.78
11,Praia Da Vitoria,PT,2022-07-21 14:08:30,38.7333,-27.0667,76.75,83,52,3.51
12,Mantua,IT,2022-07-21 14:08:30,45.1667,10.7833,100.09,16,0,2.59
13,Bluff,NZ,2022-07-21 14:08:31,-46.6,168.3333,41.81,76,100,5.97
14,Busselton,AU,2022-07-21 14:04:07,-33.65,115.3333,58.37,73,100,13.2
15,Saint Anthony,US,2022-07-21 14:08:31,45.0205,-93.218,76.89,62,40,13.8
16,Buala,SB,2022-07-21 14:08:32,-8.145,159.5921,80.11,82,95,5.91
17,San Cristobal,VE,2022-07-21 14:08:32,7.7669,-72.225,78.98,70,95,6.06
18,Riyadh,SA,2022-07-21 14:04:38,24.6877,46.7219,109.54,5,61,17.65
19,Kavaratti,IN,2022-07-21 14:08:32,10.5669,72.642,81.1,82,100,20.98
20,Iqaluit,CA,2022-07-21 14:08:33,63.7506,-68.5145,38.93,100,100,8.05
21,Sinnamary,GF,2022-07-21 14:08:33,5.3833,-52.95,82.74,72,30,5.19
22,Acapulco,MX,2022-07-21 14:08:30,16.8634,-99.8901,84.02,84,40,4.61
